"file","fromUrl","toUrl","replacements"
"ai-untuk-blogger.md","/blog/prompt-ai-untuk-menulis/","/blog/ai-tools-untuk-menulis/","1"
"ai-untuk-dosen.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","1"
"ai-untuk-dosen.md","/blog/kesalahan-pemula-saat-belajar-ai/","/blog/ai-untuk-pemula/","1"
"ai-untuk-dosen.md","/blog/ai-tools-untuk-coding/","/blog/ai-tools-terbaik-untuk-produktivitas/","1"
"ai-untuk-dosen.md","/blog/cara-menggunakan-ai-untuk-coding/","/blog/cara-menggunakan-ai-untuk-kerja/","1"
"ai-untuk-instagram-creator.md","/blog/prompt-ai-untuk-video/","/blog/ai-tools-untuk-video/","2"
"ai-untuk-instagram-creator.md","/blog/prompt-ai-untuk-caption-instagram/","/blog/ai-untuk-instagram-creator/","3"
"ai-untuk-instagram-creator.md","/blog/prompt-ai-untuk-content-creator/","/blog/ai-untuk-content-creator/","1"
"ai-untuk-pemula.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","1"
"ai-untuk-pemula.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","3"
"ai-untuk-pemula.md","/blog/kesalahan-pemula-saat-belajar-ai/","/blog/ai-untuk-pemula/","1"
"ai-untuk-podcaster.md","/blog/prompt-ai-untuk-video/","/blog/ai-tools-untuk-video/","1"
"ai-untuk-podcaster.md","/blog/prompt-ai-untuk-content-creator/","/blog/ai-untuk-content-creator/","1"
"ai-untuk-siswa.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","1"
"ai-untuk-siswa.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","1"
"ai-untuk-siswa.md","/blog/kesalahan-pemula-saat-belajar-ai/","/blog/ai-untuk-pemula/","1"
"ai-untuk-tiktoker.md","/blog/prompt-ai-untuk-video/","/blog/ai-tools-untuk-video/","2"
"ai-untuk-tiktoker.md","/blog/prompt-ai-untuk-caption-instagram/","/blog/ai-untuk-instagram-creator/","2"
"ai-untuk-tiktoker.md","/blog/prompt-ai-untuk-content-creator/","/blog/ai-untuk-content-creator/","1"
"ai-untuk-youtuber.md","/blog/prompt-ai-untuk-video/","/blog/ai-tools-untuk-video/","2"
"ai-untuk-youtuber.md","/blog/prompt-ai-untuk-content-creator/","/blog/ai-untuk-content-creator/","1"
"cara-membangun-portofolio-ai.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","1"
"contoh-penerapan-ai.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","2"
"contoh-penerapan-ai.md","/blog/kesalahan-pemula-saat-belajar-ai/","/blog/ai-untuk-pemula/","2"
"contoh-penerapan-ai.md","/blog/ai-tools-terbaik/","/blog/15-tools-ai-gratis-terbaik-2026/","1"
"istilah-ai.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","4"
"istilah-ai.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","2"
"istilah-ai.md","/blog/kesalahan-pemula-saat-belajar-ai/","/blog/ai-untuk-pemula/","2"
"istilah-ai.md","/blog/ai-tools-terbaik/","/blog/15-tools-ai-gratis-terbaik-2026/","2"
"istilah-ai.md","/blog/ai-untuk-karyawan/","/blog/cara-menggunakan-ai-untuk-kerja/","1"
"jenis-jenis-ai.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","1"
"jenis-jenis-ai.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","2"
"jenis-jenis-ai.md","/blog/ai-tools-terbaik/","/blog/15-tools-ai-gratis-terbaik-2026/","2"
"jenis-jenis-ai.md","/blog/ai-tools-untuk-coding/","/blog/ai-tools-terbaik-untuk-produktivitas/","1"
"jenis-jenis-ai.md","/blog/cara-menggunakan-ai-untuk-coding/","/blog/cara-menggunakan-ai-untuk-kerja/","1"
"karier-ai-untuk-pemula.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","1"
"karier-ai-untuk-pemula.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","2"
"skill-ai-yang-dibutuhkan-perusahaan.md","/blog/apakah-ai-aman/","/blog/ai-untuk-pemula/","2"
"skill-ai-yang-dibutuhkan-perusahaan.md","/blog/skill-ai/","/blog/skill-ai-yang-harus-dipelajari/","2"
"skill-ai-yang-dibutuhkan-perusahaan.md","/blog/kesalahan-pemula-saat-belajar-ai/","/blog/ai-untuk-pemula/","1"
"studi-kasus-ai-untuk-content-creator.md","/blog/prompt-ai-untuk-video/","/blog/ai-tools-untuk-video/","2"
"studi-kasus-ai-untuk-content-creator.md","/blog/prompt-ai-untuk-caption-instagram/","/blog/ai-untuk-instagram-creator/","2"
"studi-kasus-ai-untuk-content-creator.md","/blog/prompt-ai-untuk-content-creator/","/blog/ai-untuk-content-creator/","2"
"studi-kasus-ai-untuk-content-creator.md","/blog/ai-tools-terbaik-untuk-content-creator/","/blog/ai-untuk-content-creator/","1"
"studi-kasus-ai-untuk-content-creator.md","/blog/cara-menggunakan-ai-untuk-membuat-video/","/blog/ai-tools-untuk-video/","1"